,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
954,Depot Road,D4,Depot Rd,152881,43680,3.5,https://www.99.co/singapore/commercial/rent/property/depot-road-office-DiT5gwMoUfwZoiqRbaCHHc#enquiry_source--Search,103.81618,1.27946
955,80 Bendemeer Road,D12,Bendemeer Rd,61118,13286,4.6,https://www.99.co/singapore/commercial/rent/property/80-bendemeer-road-office-jLmoN5QhRCyPHEVG24SpRu#enquiry_source--Search,103.86351,1.31713
960,Great World City,D9,Kim Seng Promenade,19200,2400,8.0,https://www.99.co/singapore/commercial/rent/property/great-world-city-office-veYE74NwLvCkFgndNWVoXX#enquiry_source--Search,,
962,Kreta Ayer Conservation Area,D1,Sago St,16000,2413,6.63,https://www.99.co/singapore/commercial/rent/property/kreta-ayer-conservation-area-office-esgTypxgpYW3rVjcgrotYU#enquiry_source--Search,103.84248,1.28005
966,Kovan City,D19,Hougang St 21,2800,600,4.67,https://www.99.co/singapore/commercial/rent/property/kovan-city-office-WwdtLzNDcyPc2NXRZzgkDf#enquiry_source--Search,103.88755,1.37874
968,Ubi Techpark,D14,Ubi Cres,800,130,6.15,https://www.99.co/singapore/commercial/rent/property/ubi-techpark-office-mRZBHKvjHethXeC8Psc4HG#enquiry_source--Search,103.80439,1.46689
976,Lorong 8 Toa Payoh,D12,Lor 8 Toa Payoh,24000,8000,3.0,https://www.99.co/singapore/commercial/rent/property/lorong-8-toa-payoh-office-P5xksvudbXjdEg5qLDzedn#enquiry_source--Search,103.85396,1.34065
984,Temasek Boulevard,D1,Temasek Boulevard,52428,6000,8.74,https://www.99.co/singapore/commercial/rent/property/temasek-boulevard-office-5BgpXqeU6KvvpMhJcEQSi2#enquiry_source--Search,,
990,CPF Tampines Building,D18,Tampines Ctrl 5,5720,1060,5.4,https://www.99.co/singapore/commercial/rent/property/cpf-tampines-building-office-Ls3Ss8YuWoZqTq9p63ppMN#enquiry_source--Search,103.94174,1.35368
995,Woodlands Industrial Xchange,D25,Woodlands Ave 10,1700,1000,1.7,https://www.99.co/singapore/commercial/rent/property/woodlands-industrial-xchange-office-URDwQnu8Y8sveDw26XSRyi#enquiry_source--Search,103.81198,1.45701
1003,Soho Life,D15,Joo Chiat Rd,3000,409,7.33,https://www.99.co/singapore/commercial/rent/property/soho-life-office-a6AjgkD2ps4dFep7vVSYwB#enquiry_source--Search,,
1005,MYP Plaza,D1,Cecil St,13788,2293,6.01,https://www.99.co/singapore/commercial/rent/property/myp-plaza-office-vp6V9zD9kTE9ANdntmBYYk#enquiry_source--Search,103.84836,1.27945
1010,RB Capital Building,D1,Malacca St,8000,1200,6.67,https://www.99.co/singapore/commercial/rent/property/rb-capital-building-office-J4CBaYTpdV8f9MkdTzn3sY#enquiry_source--Search,103.84608,1.31148
